COUNTRY;LEAGUE;STANDINGS_OVERALL;FORM_LAST_5_OVERALL;FORM_LAST_10_OVERALL
ARGENTINA;Liga Profesional;https://www.flashscore.com/football/argentina/liga-profesional/standings/;https://www.flashscore.com/football/argentina/liga-profesional/form/;https://www.flashscore.com/football/argentina/liga-profesional/form/
AUSTRIA;Bundesliga;https://www.flashscore.com/football/austria/bundesliga/standings/;https://www.flashscore.com/football/austria/bundesliga/form/;https://www.flashscore.com/football/austria/bundesliga/form/
BELGIUM;Jupiler Pro League;https://www.flashscore.com/football/belgium/jupiler-pro-league/standings/;https://www.flashscore.com/football/belgium/jupiler-pro-league/form/;https://www.flashscore.com/football/belgium/jupiler-pro-league/form/
BRAZIL;Serie A Betano;https://www.flashscore.com/football/brazil/serie-a/standings/;https://www.flashscore.com/football/brazil/serie-a/form/;https://www.flashscore.com/football/brazil/serie-a/form/
CHINA;Super League;https://www.flashscore.com/football/china/super-league/standings/;https://www.flashscore.com/football/china/super-league/form/;https://www.flashscore.com/football/china/super-league/form/
DENMARK;Superliga;https://www.flashscore.com/football/denmark/superliga/standings/;https://www.flashscore.com/football/denmark/superliga/form/;https://www.flashscore.com/football/denmark/superliga/form/
ENGLAND;Championship;https://www.flashscore.com/football/england/championship/standings/;https://www.flashscore.com/football/england/championship/form/;https://www.flashscore.com/football/england/championship/form/
ENGLAND;League One;https://www.flashscore.com/football/england/league-one/standings/;https://www.flashscore.com/football/england/league-one/form/;https://www.flashscore.com/football/england/league-one/form/
ENGLAND;League Two;https://www.flashscore.com/football/england/league-two/standings/;https://www.flashscore.com/football/england/league-two/form/;https://www.flashscore.com/football/england/league-two/form/
ENGLAND;National League;https://www.flashscore.com/football/england/national-league/standings/;https://www.flashscore.com/football/england/national-league/form/;https://www.flashscore.com/football/england/national-league/form/
ENGLAND;Premier League;https://www.flashscore.com/football/england/premier-league/standings/;https://www.flashscore.com/football/england/premier-league/form/;https://www.flashscore.com/football/england/premier-league/form/
EUROPE;Champions League;https://www.flashscore.com/football/europe/champions-league/standings/;https://www.flashscore.com/football/europe/champions-league/form/;https://www.flashscore.com/football/europe/champions-league/form/
EUROPE;Conference League;https://www.flashscore.com/football/europe/europa-conference-league/standings/;https://www.flashscore.com/football/europe/europa-conference-league/form/;https://www.flashscore.com/football/europe/europa-conference-league/form/
EUROPE;Europa League;https://www.flashscore.com/football/europe/europa-league/standings/;https://www.flashscore.com/football/europe/europa-league/form/;https://www.flashscore.com/football/europe/europa-league/form/
FINLAND;Veikkausliiga;https://www.flashscore.com/football/finland/veikkausliiga/standings/;https://www.flashscore.com/football/finland/veikkausliiga/form/;https://www.flashscore.com/football/finland/veikkausliiga/form/
FRANCE;Ligue 1;https://www.flashscore.com/football/france/ligue-1/standings/;https://www.flashscore.com/football/france/ligue-1/form/;https://www.flashscore.com/football/france/ligue-1/form/
FRANCE;Ligue 2;https://www.flashscore.com/football/france/ligue-2/standings/;https://www.flashscore.com/football/france/ligue-2/form/;https://www.flashscore.com/football/france/ligue-2/form/
GERMANY;2. Bundesliga;https://www.flashscore.com/football/germany/2-bundesliga/standings/;https://www.flashscore.com/football/germany/2-bundesliga/form/;https://www.flashscore.com/football/germany/2-bundesliga/form/
GERMANY;Bundesliga;https://www.flashscore.com/football/germany/bundesliga/standings/;https://www.flashscore.com/football/germany/bundesliga/form/;https://www.flashscore.com/football/germany/bundesliga/form/
GREECE;Super League;https://www.flashscore.com/football/greece/super-league/standings/;https://www.flashscore.com/football/greece/super-league/form/;https://www.flashscore.com/football/greece/super-league/form/
IRELAND;Premier Division;https://www.flashscore.com/football/ireland/premier-division/standings/;https://www.flashscore.com/football/ireland/premier-division/form/;https://www.flashscore.com/football/ireland/premier-division/form/
ITALY;Serie A;https://www.flashscore.com/football/italy/serie-a/standings/;https://www.flashscore.com/football/italy/serie-a/form/;https://www.flashscore.com/football/italy/serie-a/form/
ITALY;Serie B;https://www.flashscore.com/football/italy/serie-b/standings/;https://www.flashscore.com/football/italy/serie-b/form/;https://www.flashscore.com/football/italy/serie-b/form/
JAPAN;J1 League;https://www.flashscore.com/football/japan/j1-league/standings/;https://www.flashscore.com/football/japan/j1-league/form/;https://www.flashscore.com/football/japan/j1-league/form/
MEXICO;Liga MX;https://www.flashscore.com/football/mexico/liga-mx/standings/;https://www.flashscore.com/football/mexico/liga-mx/form/;https://www.flashscore.com/football/mexico/liga-mx/form/
NETHERLANDS;Eredivisie;https://www.flashscore.com/football/netherlands/eredivisie/standings/;https://www.flashscore.com/football/netherlands/eredivisie/form/;https://www.flashscore.com/football/netherlands/eredivisie/form/
NORWAY;Eliteserien;https://www.flashscore.com/football/norway/eliteserien/standings/;https://www.flashscore.com/football/norway/eliteserien/form/;https://www.flashscore.com/football/norway/eliteserien/form/
POLAND;Ekstraklasa;https://www.flashscore.com/football/poland/ekstraklasa/standings/;https://www.flashscore.com/football/poland/ekstraklasa/form/;https://www.flashscore.com/football/poland/ekstraklasa/form/
